id_szkoly,id_ucznia,pomiar,grupa,mat_1,mat_2,mat_3,mat_4,mat_5,mat_6,mat_7,mat_8,mat_9,mat_10,mat_11,mat_12,mat_13,mat_14,mat_15,mat_16,mat_17,mat_18,mat_19,mat_20,mat_21,mat_22,mat_23,mat_24,mat_25,mat_26,mat_27,mat_28,mat_29,mat_30,mat_31,mat_33,mat_34,mat_35,mat_36,mat_37,mat_38,mat_39,mat_40,mat_41,mat_42,mat_43,mat_44,mat_45,mat_46,mat_47,mat_32,mat_48
94,2193195,2,0,1,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,1,1,0,0,1,0,1,1,,,,,,,,,0,1,1,0,0,1,1,,0
94,2193181,2,0,1,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,1,0,0,1,0,1,1,,1
94,2193209,1,0,,,,,,,,,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,,,,,,,,,0,1,0,1,1,1,1,1,,,,,,,,1,
94,2193223,1,0,,,,,,,,,0,1,1,1,0,0,0,1,0,0,1,1,0,1,1,,,,,,,,,1,1,1,1,0,1,0,0,,,,,,,,1,
94,2193147,2,0,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,0,1,,,,,,,,,1,1,1,1,1,1,1,,1
95,2224676,1,1,,,,,,,,,1,1,0,0,1,1,0,1,1,0,1,0,1,0,1,,,,,,,,,1,0,0,0,1,0,1,1,,,,,,,,0,
95,2224862,1,1,,,,,,,,,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,,,,,,,,,0,1,0,1,0,0,1,0,,,,,,,,0,
95,2224890,2,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,0,1,1,1,0,0,1,1,,,,,,,,,0,0,0,0,1,0,0,,1
95,2224862,2,1,0,1,1,1,1,1,1,0,,,,,,,,,,,,,,,,1,1,1,0,1,0,1,1,,,,,,,,,0,1,0,0,0,1,1,,0
95,2224652,2,1,1,1,1,1,0,1,1,0,,,,,,,,,,,,,,,,1,1,1,0,1,0,1,1,,,,,,,,,1,1,0,0,1,1,0,,1
95,2224676,2,1,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,1,1,1,1,1,0,1,1,,,,,,,,,0,1,1,1,0,1,1,,1
95,2224818,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,0,1,1,1,,1
95,2224638,1,1,,,,,,,,,1,1,1,0,0,1,1,1,1,0,0,0,1,1,1,,,,,,,,,0,0,1,1,1,0,1,0,,,,,,,,0,
95,2224832,2,1,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,1,,,,,,,,,1,0,0,0,0,0,0,,0
95,2224818,1,1,,,,,,,,,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,1,
95,2224652,1,1,,,,,,,,,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,0,
95,2224690,2,1,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,1,1,0,0,1,0,1,1,,,,,,,,,0,1,0,0,0,0,0,,0
95,2224638,2,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,,,,,,,,,0,1,0,1,0,1,0,,0
95,2224832,1,1,,,,,,,,,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,0,
95,2224876,2,1,0,1,1,1,0,0,1,0,,,,,,,,,,,,,,,,1,1,1,1,0,1,1,1,,,,,,,,,1,1,0,0,0,0,1,,0
95,2224876,1,1,,,,,,,,,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,,,,,,,,,0,1,0,1,0,0,0,0,,,,,,,,0,
95,2224890,1,1,,,,,,,,,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,0,0,0,0,0,0,1,0,,,,,,,,0,
95,2224690,1,1,,,,,,,,,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,0,
96,2205500,2,1,0,0,1,1,1,1,0,0,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,1,,,,,,,,,0,0,0,0,0,0,0,,0
96,2205500,1,1,,,,,,,,,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,,,,,,,,,1,0,0,0,0,0,1,1,,,,,,,,0,
96,2205514,1,1,,,,,,,,,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,,,,,,,,,0,0,1,0,1,1,1,1,,,,,,,,1,
96,2205536,1,1,,,,,,,,,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,,,,,,,,,0,1,1,0,0,0,1,0,,,,,,,,1,
96,2205416,1,1,,,,,,,,,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,,,,,,,,,0,1,1,1,1,1,1,1,,,,,,,,1,
96,2205402,2,1,0,1,1,1,1,1,0,1,,,,,,,,,,,,,,,,1,1,1,0,0,0,1,1,,,,,,,,,0,1,1,0,0,0,1,,1
96,2205416,2,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,1,0,1,0,1,1,1,1,,,,,,,,,0,1,0,1,1,1,1,,1
96,2205430,1,1,,,,,,,,,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,,,,,,,,,0,0,0,0,1,1,0,1,,,,,,,,0,
96,2205402,1,1,,,,,,,,,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,,,,,,,,,1,1,1,1,0,1,1,1,,,,,,,,1,
96,2205514,2,1,1,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,,,0,1,1,1,1,0,1,,1
96,2205430,2,1,1,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,,,,,,,,,0,1,0,0,0,0,1,,1
96,2205536,2,1,1,1,1,0,0,1,0,0,,,,,,,,,,,,,,,,1,1,0,0,0,0,1,1,,,,,,,,,0,1,1,0,0,1,0,,1
113,2157589,1,0,,,,,,,,,1,1,0,1,1,1,1,1,1,0,0,1,1,1,0,,,,,,,,,1,0,0,0,0,1,1,0,,,,,,,,1,
113,2157589,2,0,0,1,1,0,0,1,0,0,,,,,,,,,,,,,,,,1,1,0,1,0,0,1,1,,,,,,,,,0,0,0,0,1,1,1,,0
113,2157575,1,0,,,,,,,,,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,,,,,,,,,1,1,0,1,0,1,0,0,,,,,,,,0,
113,2157535,1,0,,,,,,,,,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,,,,,,,,,0,1,1,0,0,1,1,0,,,,,,,,0,
